,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,ssd,hdd,flash,hybrid,Resolution,PPI
0,Apple,Ultrabook,13.3,Intel,8.0,Intel Iris Plus,macOS,1.37,71378.6832,128,0,0,0,2560x1600,226.98
1,Apple,Ultrabook,13.3,Intel,8.0,Intel HD,macOS,1.34,47895.5232,0,0,128,0,1440x900,127.68
2,HP,Notebook,15.6,Intel,8.0,Intel HD,No OS,1.86,30636.0,256,0,0,0,1920x1080,141.21
3,Apple,Ultrabook,15.4,Intel,16.0,AMD Radeon,macOS,1.83,135195.33599999998,512,0,0,0,2880x1800,220.53
4,Apple,Ultrabook,13.3,Intel,8.0,Intel Iris Plus,macOS,1.37,96095.808,256,0,0,0,2560x1600,226.98
5,Acer,Notebook,15.6,AMD,4.0,AMD,Windows 10,2.1,21312.0,0,500,0,0,1366x768,100.45
6,Apple,Ultrabook,15.4,Intel,16.0,Intel Iris,Mac OS X,2.04,114017.6016,0,0,256,0,2880x1800,220.53
7,Apple,Ultrabook,13.3,Intel,8.0,Intel HD,macOS,1.34,61735.536,0,0,256,0,1440x900,127.68
8,Asus,Ultrabook,14.0,Intel,16.0,Nvidia,Windows 10,1.3,79653.59999999999,512,0,0,0,1920x1080,157.35
9,Acer,Ultrabook,14.0,Intel,8.0,Intel UHD,Windows 10,1.6,41025.6,256,0,0,0,1920x1080,157.35
10,HP,Notebook,15.6,Intel,4.0,Intel HD,No OS,1.86,20986.992,0,500,0,0,1366x768,100.45
11,HP,Notebook,15.6,Intel,4.0,Intel HD,No OS,1.86,18381.0672,0,500,0,0,1920x1080,141.21
12,Apple,Ultrabook,15.4,Intel,16.0,AMD Radeon,macOS,1.83,130001.6016,256,0,0,0,2880x1800,220.53
13,Dell,Notebook,15.6,Intel,4.0,AMD Radeon,Windows 10,2.2,26581.392,256,0,0,0,1920x1080,141.21
14,Apple,Ultrabook,12.0,Intel,8.0,Intel HD,macOS,0.92,67260.672,256,0,0,0,2304x1440,226.42
15,Apple,Ultrabook,13.3,Intel,8.0,Intel Iris Plus,macOS,1.37,80908.344,256,0,0,0,2560x1600,226.98
16,Dell,Notebook,15.6,Intel,8.0,AMD Radeon,Windows 10,2.2,39693.6,256,0,0,0,1920x1080,141.21
17,Apple,Ultrabook,15.4,Intel,16.0,AMD Radeon,macOS,1.83,152274.24,512,0,0,0,2880x1800,220.53
18,Lenovo,Notebook,15.6,Intel,8.0,Nvidia,No OS,2.2,26586.72,0,1024,0,0,1920x1080,141.21
19,Dell,Ultrabook,13.3,Intel,8.0,Intel UHD,Windows 10,1.22,52161.12,128,0,0,0,1920x1080,165.63
